sh600210,600210,紫江企业,5.500,-0.08,-1.434
sh600211,600211,西藏药业,37.540,-0.51,-1.34
sh600216,600216,浙江医药,16.390,0.97,6.291
sh600217,600217,XD中再资,5.290,0.1,1.927
sh600219,600219,南山铝业,4.110,-0.06,-1.439
sh600221,600221,海航控股,1.110,-0.02,-1.77
sh600223,600223,福瑞达,6.850,-0.22,-3.112
sh600225,600225,卓朗科技,3.480,0.2,6.098
sh600226,600226,亨通股份,2.060,-0.03,-1.435
sh600228,600228,返利科技,5.620,0,0
sh600229,600229,城市传媒,7.120,-0.01,-0.14
sh600230,600230,沧州大化,10.600,-0.26,-2.394
sh600231,600231,凌钢股份,1.680,-0.07,-4
sh600233,600233,圆通速递,16.750,-0.27,-1.586
sh600236,600236,桂冠电力,6.270,-0.19,-2.941
sh600238,600238,海南椰岛,7.270,-0.12,-1.624
sh600246,600246,万通发展,7.810,-0.21,-2.618
sh600248,600248,陕建股份,4.200,-0.2,-4.545
sh600251,600251,冠农股份,7.360,-0.16,-2.128
sh600252,600252,中恒集团,2.200,-0.04,-1.786
sh600256,600256,广汇能源,7.760,0.31,4.161
sh600258,600258,首旅酒店,12.700,-0.16,-1.244
sh600259,600259,广晟有色,26.830,-0.5,-1.829
sh600266,600266,城建发展,5.470,-0.54,-8.985
sh600267,600267,海正药业,8.000,-0.08,-0.99
sh600268,600268,国电南自,6.530,-0.02,-0.305
sh600269,600269,赣粤高速,4.890,-0.1,-2.004
sh600271,600271,航天信息,9.670,-0.05,-0.514
sh600273,600273,嘉化能源,7.470,-0.15,-1.969
sh600276,600276,恒瑞医药,49.220,0.04,0.081
sh600278,600278,东方创业,6.400,-0.14,-2.141
sh600279,600279,重庆港,4.690,0.09,1.957
sh600282,600282,南钢股份,4.600,-0.06,-1.288
sh600284,600284,浦东建设,5.870,-0.08,-1.345
sh600285,600285,羚锐制药,24.660,-0.28,-1.123
sh600288,600288,大恒科技,7.990,0,0
sh600295,600295,鄂尔多斯,9.370,-0.16,-1.679
sh600298,600298,安琪酵母,36.100,-0.2,-0.551
sh600299,600299,安迪苏,10.960,-0.31,-2.751
sh600300,600300,维维股份,2.580,-0.05,-1.901
sh600301,600301,华锡有色,16.250,-0.28,-1.694
sh600305,600305,恒顺醋业,7.510,-0.11,-1.444
sh600307,600307,酒钢宏兴,1.380,-0.03,-2.128
sh600308,600308,华泰股份,3.530,-0.09,-2.486
sh600309,600309,万华化学,76.500,-2.34,-2.968
sh600310,600310,广西能源,3.990,-0.09,-2.206
sh600312,600312,平高电气,19.500,-0.36,-1.813
sh600313,600313,农发种业,5.900,-0.06,-1.007
sh600315,600315,上海家化,16.350,-0.25,-1.506
sh600316,600316,洪都航空,26.500,1.12,4.413
sh600320,600320,振华重工,3.810,-0.1,-2.558
sh600323,600323,瀚蓝环境,22.530,-0.23,-1.011
sh600325,600325,华发股份,6.660,-0.42,-5.932
sh600326,600326,西藏天路,6.730,-0.49,-6.787
sh600328,600328,中盐化工,7.890,-0.19,-2.351
sh600329,600329,达仁堂,33.500,-0.48,-1.413
sh600330,600330,天通股份,6.850,-0.09,-1.297
sh600331,600331,宏达股份,6.990,-0.12,-1.688
sh600332,600332,白云山,27.690,-0.32,-1.142
sh600335,600335,国机汽车,6.010,-0.11,-1.797
sh600338,600338,西藏珠峰,10.240,-0.14,-1.349
sh600339,600339,中油工程,3.390,-0.09,-2.586
sh600340,600340,华夏幸福,1.470,-0.09,-5.769
sh600343,600343,航天动力,9.450,-0.02,-0.211
sh600345,600345,长江通信,17.560,0.01,0.057
sh600346,600346,恒力石化,13.950,-0.37,-2.584
sh600348,600348,华阳股份,7.660,-0.08,-1.034
sh600350,600350,山东高速,8.630,-0.19,-2.154
sh600351,600351,亚宝药业,5.770,-0.08,-1.368
sh600352,600352,浙江龙盛,9.780,-0.15,-1.511
sh600353,600353,旭光电子,6.310,-0.21,-3.221
sh600361,600361,创新新材,4.000,-0.11,-2.676
sh600362,600362,江西铜业,22.150,-0.29,-1.292
sh600363,600363,联创光电,28.300,0.57,2.056
sh600366,600366,宁波韵升,6.210,-0.1,-1.585
sh600368,600368,五洲交通,3.650,-0.05,-1.351
sh600369,600369,西南证券,4.460,-0.19,-4.086
sh600372,600372,中航机载,12.350,-0.17,-1.358
sh600373,600373,中文传媒,14.640,-0.15,-1.014
sh600376,600376,首开股份,2.680,-0.23,-7.904
sh600377,600377,宁沪高速,12.960,-0.19,-1.445
sh600378,600378,昊华科技,27.910,-0.61,-2.139
sh600380,600380,健康元,10.730,-0.16,-1.469
sh600383,600383,金地集团,5.320,-0.59,-9.983
sh600388,600388,龙净环保,13.340,0.71,5.622
sh600389,600389,江山股份,13.260,-0.32,-2.356
sh600390,600390,五矿资本,6.370,-0.06,-0.933
sh600391,600391,航发科技,18.450,-0.36,-1.914
